ID 	 SPEED
------	-------
0 	 57
1 	 67
3 	 51
4 	 109<---exceeded
5 	 85<---exceeded
7 	 67
12 	 46
11 	 38
13 	 42
14 	 80
15 	 83<---exceeded
23 	 80
24 	 94<---exceeded
34 	 68
37 	 50
39 	 40
43 	 54
53 	 50
55 	 47
56 	 52
57 	 68
59 	 60
65 	 112<---exceeded
66 	 67
69 	 104<---exceeded
71 	 104<---exceeded
94 	 57
98 	 63
99 	 89<---exceeded
100 	 69
101 	 68
104 	 71
107 	 158<---exceeded
105 	 89<---exceeded
113 	 54
120 	 54
124 	 68
128 	 63
140 	 57
144 	 65
148 	 56
152 	 63
154 	 66
155 	 69
164 	 70
165 	 70
166 	 70
167 	 70
170 	 68
175 	 68
176 	 72
179 	 45
181 	 136<---exceeded
180 	 136<---exceeded
185 	 38
186 	 45
191 	 44
192 	 59
193 	 79
194 	 85<---exceeded
198 	 44
199 	 64

-------------
-------------
SUMMARY
-------------
Total Vehicles :	62
Exceeded speed limit :	13
